Notification;State
114;Minas Gerais
105;Minas Gerais
117;Minas Gerais
89;Minas Gerais
64;Minas Gerais
104;Minas Gerais
73;Minas Gerais
78;Minas Gerais
74;Minas Gerais
125;Minas Gerais
108;Minas Gerais
111;Minas Gerais
101;Minas Gerais
71;Minas Gerais
79;Minas Gerais
101;Minas Gerais
63;Minas Gerais
86;Minas Gerais
89;Minas Gerais
95;Minas Gerais
101;Minas Gerais
88;Minas Gerais
89;Minas Gerais
116;Minas Gerais
90;Minas Gerais
80;Minas Gerais
85;Minas Gerais
88;Minas Gerais
68;Minas Gerais
71;Minas Gerais
70;Minas Gerais
81;Minas Gerais
94;Minas Gerais
104;Minas Gerais
76;Minas Gerais
96;Minas Gerais
102;Minas Gerais
80;Minas Gerais
71;Minas Gerais
85;Minas Gerais
65;Minas Gerais
69;Minas Gerais
49;Minas Gerais
59;Minas Gerais
82;Minas Gerais
104;Minas Gerais
86;Minas Gerais
87;Minas Gerais
87;Minas Gerais
87;Minas Gerais
60;Minas Gerais
78;Minas Gerais
63;Minas Gerais
117;Minas Gerais
85;Minas Gerais
115;Minas Gerais
107;Minas Gerais
99;Minas Gerais
106;Minas Gerais
93;Minas Gerais
81;Minas Gerais
78;Minas Gerais
105;Minas Gerais
116;Minas Gerais
83;Minas Gerais
77;Minas Gerais
97;Minas Gerais
73;Minas Gerais
92;Minas Gerais
99;Minas Gerais
69;Minas Gerais
73;Minas Gerais
106;Minas Gerais
76;Minas Gerais
75;Minas Gerais
